car_model,year_of_manufacture,price,fuel,year_of_selling
alto k10,2016,4253.731343283582,Petrol,2019-01-05
ignis,2017,7313.432835820897,Petrol,2020-10-03
sx4,2011,6567.1641791044785,Petrol,2015-05-09
alto k10,2014,3731.3432835820895,Petrol,2013-05-15
wagon r,2013,4328.358208955224,Petrol,2017-11-15
swift,2011,4477.611940298508,Petrol,2017-06-12
swift,2013,6194.029850746269,Petrol,2013-05-15
swift,2017,8955.223880597016,Petrol,2020-10-03
alto k10,2010,2910.4477611940297,Petrol,2015-05-09
ciaz,2015,11119.402985074626,Diesel,2017-06-12
