car_model,year_of_manufacture,price,fuel,year_of_selling
ritz,2014,5000.0,Petrol,2015-09-30
sx4,2013,7089.55223880597,Diesel,2013-05-15
ciaz,2017,10820.89552238806,Petrol,2020-10-03
wagon r,2011,4253.731343283582,Petrol,2013-12-30
swift,2014,6865.671641791044,Diesel,2017-06-12
vitara brezza,2018,13805.970149253732,Diesel,2019-01-05
ciaz,2025,10074.626865671642,Petrol,2017-11-15
s cross,2015,9701.492537313432,Diesel,2015-06-30
ciaz,2026,13059.701492537313,Diesel,2016-10-13
ciaz,2015,11119.402985074626,Diesel,2015-05-09
